guid,date,title,desc,duration,category
22581925,2026-02-06,"Orange weather warnings remain in Dublin, Wicklow, Louth and Waterford","Keith Leonard, National Director of the National Directorate for Fire and Emergency Management, discusses the impact of the Status Orange weather warnings for Dublin, Wicklow, Louth and Waterford.",225,Weather
22581926,2026-02-06,"Man in his 80s killed, three hospitalised after Dublin bus crash","Sarah Burke, Dublin Reporter for the Irish Independent, reports on the latest following a fatal crash involving a bus on a pedestrianised street in Dublin city.",153,Health / HSE
22581945,2026-02-06,FBI reviewing ransom note allegely sent from kidnappers of US TV host's mother,"Steve Futterman, US-based journalist, discusses reports that Police in Arizona believe that Nancy Guthrie, the missing 84-year-old mother of TV presenter, Savannah Guthrie is still alive.",339,Other
22581946,2026-02-06,Iran and US prepare for nuclear talks in Oman,"Gregg Carlstrom, Middle-East Correspondent with The Economist, discusses the talks between Iran and US which are due to take place today.",279,International
22581927,2026-02-06,8.35am Sports News,Presented by Shane Dawson.,473,Sports
22581929,2026-02-06,Excitement building ahead of Winter Olympics opening ceremony,Eamon Horan reports from the opening ceremony of the Milano-Cortina Winter Olympics which take place later tonight.,296,Other
22581930,2026-02-06,30th Festival of Youth Orchestras takes place this weekend,"Ciara Murphy, conductor, and harpists from Music Generation Laois, look ahead to the Festival of Youth Orchestras.",526,Arts / Culture
22581528,2026-02-05,7.10am It Says In The Papers,Presented by John S. Doyle.,197,It Says in Papers
22581529,2026-02-05,"Wicklow and south Dublin residents urged to 'be vigilant, prepare for flooding'","Gerry Murphy, Senior forecaster with Met Eireann, details the forecasted weather for the East and South-East and the various weather warnings in place.",353,Weather
22581530,2026-02-05,Council 'optimistic' Wexford Town will avoid 'extensive flooding',"Eddie Taaffe, Wexford County Council CEO, outlines the likely impacts heavy rain will have on the county.",146,Weather
22581531,2026-02-05,"'Changes for good, but more to do' - Dublin inner city","Reporter, Dyane Connor, examines the recommendations made by the Mulvey Report to tackle crime and rejuvenate the North East Inner City and what impact they're having.",312,Other
22581532,2026-02-05,640 jobs under threat as owners of EuroGiant chain enter liquidation,"Damien O'Reilly, lecturer in retail management at TU Dublin, on the appointment of liquidators to low-cost retailer EuroGiant.",229,Other
22581533,2026-02-05,7.35am Sports News,Presented by Darren Frehill.,240,Sports
22581534,2026-02-05,57 Defence Forces personnel have convictions or are before courts,Cian McCormack discusses the 57 serving members of the Defence Forces who either have criminal convictions or are currently before the courts.,367,Crime / Justice
22581535,2026-02-05,Derry Girls creator follows up with Belfast-based Netflix drama,"Journalist, Olivia Fahy discusses Lisa McGee's new Netflix drama which is based in Belfast.",226,Arts / Culture
22581536,2026-02-05,7.50am Business News,Presented by Adam Maguire.,260,Business
22581537,2026-02-05,Weather Forecast,Presented by Gerry Murphy.,135,Weather
22581538,2026-02-05,8am News Bulletin,Presented by Karin Carthy.,422,News Bulletin
22581539,2026-02-05,8.10am It Says In The Papers,Presented by John S. Doyle.,265,It Says in Papers
22581540,2026-02-05,"Ten years on, hunt for Regency Hotel attackers continues","Detective Chief Superintendent Seamus Boland, Head of the Garda’s Drugs and Organised Crime Bureau, speaks to Crime Correspondent, Paul Reynolds, about the intelligence failure ahead of the Regency Hotel attack ten years ago.",532,Crime / Justice
22581541,2026-02-05,Wicklow and Waterford prepare for more rain,"Michael Flynn, Senior Engineer at Wicklow County Council and Gabriel Hynes, Director of Services at Waterford City and County Council, speak about the Status Orange rain warning for the two counties.",360,Science / Nature
22581542,2026-02-05,8.35am Sports News,Presented by Darren Frehill.,349,Sports
